,Model,Sampling Technique,Hyperparameters,Test_Score,Val_Score
0,LogisticRegression,no_sampling,"{'C': 1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'saga'}",0.11148047687971552,0.14937759336099585
1,RandomForest,no_sampling,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 6, 'min_samples_split': 10, 'n_estimators': 500}",0.10283151107373142,0.07547169811320754
2,LightGBM,no_sampling,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 200, 'num_leaves': 10, 'scale_pos_weight': 18}",0.19274880720219173,0.34285714285714286
