,Hidden Layers,Hidden Layer Size,Learning Rate,Mean Accuracy,Mean Precision,Mean Recall,Mean F1
0,1,256,0.01,0.6545546689924217,0.0849340861550164,0.461854103343465,0.13732514670550183
1,1,256,0.001,0.5638077952078447,0.0821586047004071,0.5447075134645123,0.13120990914152877
2,1,256,0.0001,0.6663240892429902,0.08146763619545036,0.4007118860982243,0.12830694067338982
3,1,256,1e-05,0.5595998287112882,0.077744854815411,0.47027675571908495,0.12196202439585854
4,1,128,0.01,0.6156261663150533,0.08124220218637296,0.5027275635898256,0.1308253155006031
5,1,128,0.001,0.6307482880950417,0.08409695022477927,0.46986348850850534,0.13485297641383961
6,1,128,0.0001,0.5433513657917585,0.07711288587189916,0.5217698501573083,0.12491246216678017
7,1,128,1e-05,0.6237509870708451,0.0768883589191059,0.427272969658188,0.12417654144474873
8,1,64,0.01,0.5783626213458737,0.08083939094464354,0.5406654935210365,0.13349908862041432
9,1,64,0.001,0.6380264868920922,0.0777718933232457,0.43354396629872555,0.12604259596721099
10,1,64,0.0001,0.7130969077673145,0.0725004533213138,0.3751266464032421,0.11584696483551951
11,1,64,1e-05,0.6920818257176643,0.06574686890476364,0.34179864555004535,0.10750505017552085
12,1,32,0.01,0.5716450395024769,0.07976426683526075,0.5394443555697754,0.13011283347723052
13,1,32,0.001,0.5156210590828196,0.07825536492473754,0.5855329813896443,0.128547788194853
14,1,32,0.0001,0.6820064351126145,0.08717455268653247,0.38490108249346777,0.13278121070529428
15,1,32,1e-05,0.67106949371614,0.08604835489337136,0.4149656055031195,0.13010744022832998
16,1,16,0.01,0.5859268251480116,0.07787644927679449,0.5035887591318723,0.1274362136664295
17,1,16,0.001,0.6052470918241069,0.08469302505339092,0.5063136564816297,0.1373669082660748
18,1,16,0.0001,0.5052533776483946,0.07700576692178292,0.5637444675518584,0.12611733126453156
19,1,16,1e-05,0.4344761747616298,0.06496738080701045,0.603847384418493,0.10875468383516167
20,2,256,0.01,0.6601494454724386,0.07969025917253506,0.4392870474057484,0.13004428597666534
21,2,256,0.001,0.516745828766289,0.08327412519390759,0.586540820135445,0.13381660325056552
22,2,256,0.0001,0.522636824715861,0.07868884301218955,0.5182877406281661,0.1212559985092219
23,2,256,1e-05,0.5817455734046775,0.0863376912509261,0.45275955847064464,0.12481352175765818
24,2,128,0.01,0.6223398195182701,0.08034009140371115,0.47763824454753906,0.13084958477106695
25,2,128,0.001,0.48705670206371465,0.08178864016856413,0.598581560283688,0.1311934097476266
26,2,128,0.0001,0.6495244381062383,0.08525949085067704,0.46151015837466003,0.13399630811927515
27,2,128,1e-05,0.7279664179837433,0.10691047433466139,0.29013491174745376,0.11672350107860996
28,2,64,0.01,0.5783689071701612,0.08329816983841751,0.5450621233935904,0.1353728323606017
29,2,64,0.001,0.6089066201515669,0.08174740154999295,0.4715298885511651,0.12964543110094504
30,2,64,0.0001,0.763524147386865,0.08166099045734036,0.3271423238948435,0.12711157553608876
31,2,64,1e-05,0.7932474532590035,0.0718742536732257,0.21928224817362557,0.08173724997200513
32,2,32,0.01,0.5763967297999144,0.08052528962561109,0.5384311843438383,0.13091177048246244
33,2,32,0.001,0.6189914394930482,0.08456355876767688,0.47765957446808505,0.1348258410741518
34,2,32,0.0001,0.5030093383777073,0.08531202084759909,0.6118594358236016,0.136644667244147
35,2,32,1e-05,0.6565519896598191,0.07388971698535127,0.3523196288593825,0.08239422443962352
36,2,16,0.01,0.5346722139066005,0.07566055589545086,0.5537247373753533,0.12409523127100593
37,2,16,0.001,0.6231935130293352,0.08059928737486936,0.44260385005065855,0.12498189941728235
38,2,16,0.0001,0.6296443402045251,0.09170881504811988,0.4755132512131393,0.14305491536673748
39,2,16,1e-05,0.36353082607517057,0.07695860692084719,0.6893617021276596,0.11821222391113817
